AGE_REF,FAM_SIZE,REF_RACE,REGION,SEX_REF,FOODTOT,FOODHOME,CEREAL,BAKEPROD,BEEF,PORK,OTHMEAT,POULTRY,SEAFOOD,EGGS,MILKPROD,OTHDAIRY,FRSHFRUT,FRSHVEG,PROCFRUT,PROCVEG,SWEETS,NONALBEV,OILS,MISCFOOD,FOODAWAY,ALCBEV
80,1,1,2,2,134.08616,44.4,0,0,8.53,0,0,7.08,0,0,2.01,8.06,2.01,5.76,0,2.02,8.93,0,0,0,89.68616,0
60,1,4,4,2,107.75,107.75,1.59,6.78,18.6,0,0,11.99,29.14,3.79,1.29,3.29,3.29,8.86,0,0,0,0,1.39,17.74,0,2.17
60,1,4,4,2,35.46,35.46,0,2.99,0,0,0,0,0,0,3.29,0,2.53,0,7.6865,5.7035,0,0,0,13.26,0,0
30,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1,1,2,1,100.5,50.5,6.91462,9.58895,0,0,0,0,0,0,0,2.35538,2.34674,8.58609,0,3.23867,8.42509,0,0,9.04446,50,0
22,1,1,2,1,50.5,50.5,4.32138,7.2995,0,0,0,0,4.17215,2.85254,0,5.66025,8.84122,4.92905,0,0,0,9.76816,0,2.65575,0,0
45,5,1,2,1,149.99999,149.99999,8.4214,27.40493,7.00963,16.74293,12.04433,10.24387,0,3.5121,2.6185,6.96901,0,10.45711,4.06258,0,0,13.59858,4.3607,22.55432,0,0
45,5,1,2,1,150,150,7.36805,16.72063,4.61327,4.90861,9.20532,9.60143,0,3.29184,2.45428,6.69899,5.86564,5.68813,3.8078,8.91268,7.43259,22.71548,5.26525,25.45001,0,0
56,3,2,1,2,47.42,45.42,1,0,7.84704,0,0,0,0,3.49,0,4.49432,0,0,0,0,3.449,5.75909,10.98,8.40055,2,0
56,3,2,1,2,39.95,38.95,2,1.52,17.00514,6.39083,6.55403,0,0,2.49,0,0,0,2.99,0,0,0,0,0,0,1,0
87,1,1,3,2,37.77,26.61,0,1.98,0,0,2.5,0,0,0,0,0,3.16,1.67,3.48,0,2.99,2.04,2.4,6.39,11.16,0
87,1,1,3,2,70.24,56.03,2.85,3.19,0,0,0,4.29,0,1.79,1.89,3.19,3.05,0,7.98,0,4.79,0,12.18,10.83,14.21,9.06
38,5,1,4,2,227.44,118.46,6.53,7.98,12.74,15.96,3.29,0,5.59,0,18.16,6.73,1.2,1.89,6.68,2.54,6.72,9.09,0,13.36,108.98,0
38,5,1,4,2,222.63,111.32,1.59,17,0,6.98,3.49,0,0,0,6.49,13.57,0,0,0,2.80413,4.34,13.72,10,31.33587,111.31,25.09
30,2,1,4,1,135.60241,101.99999,3.32601,6.98086,0,0,5.04812,0,0,0,2.44359,6.66982,2.66721,12.32813,0,4.43974,2.93648,14.81986,4.53985,35.80032,33.60242,7.6
30,2,1,4,1,39.75001,13.00001,0,2.32427,0,0,0,0,0,0,0,2.60657,0,5.41271,0,2.65646,0,0,0,0,26.75,6
40,5,1,3,2,313.8,101.75,5.3,47.67,0,0,0,0,0,0,7.98,2,10.98,5.79,1.45354,1.54646,3.17,0.73,0,15.13,212.05,25.14
40,5,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
